2023-02-28 10:35:30.810 [com.xw.service.ReadXMLServiceImpl:216] INFO   readXml完成
2023-02-28 10:35:30.819 [com.xw.service.ReadXMLServiceImpl:109] INFO   readConfig完成
2023-02-28 10:35:30.819 [com.xw.controller.UpdateCoreController:60] INFO   返回当前需要升级的文件信息 [ParameterListEntity [refNo=CEV2.0test1, parameterEntities=[ParameterEntity [packageName=CEWeb.war, jarName=, version=v002, updateFiles=[CEWeb.war\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor.class, CEWeb.war\com\cs\ceweb\catalog\clause\CEGetCataClause.class], deleteFiles=[CEWeb.war\com\cs\ceweb\catalog\clause\t2.txt]], ParameterEntity [packageName=CEEJB, jarName=CEEJB.jar, version=v002, updateFiles=[CEEJB\com\cs\batchframework\BatchFrameHelper.class, CEEJB\com\cs\batchframework\SubfileBatchHandler.class], deleteFiles=[CEEJB\com\cs\batchframework\t1.txt]], ParameterEntity [packageName=ProjectJARs, jarName=ProjectJARs.jar, version=v002, updateFiles=[ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception\TicketAccessException.class], deleteFiles=[ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception\t3.txt]]], updateJars=[replaceTest.jar], deleteJars=[deleteTest.jar]], ParameterListEntity [refNo=CEV2.0test2, parameterEntities=[], updateJars=[], deleteJars=[]]]
2023-02-28 10:35:30.820 [com.xw.service.UpdateCoreServiceImpl:42] INFO   CE 文件夹已创建
2023-02-28 10:35:31.605 [com.xw.service.UpdateCoreServiceImpl:53] INFO   JARs_Old 文件夹已创建
2023-02-28 10:35:31.605 [com.xw.service.UpdateCoreServiceImpl:59] INFO   JARs_New 文件夹已创建
2023-02-28 10:35:31.610 [com.xw.service.UpdateCoreServiceImpl:64] INFO   updateDataEntity已经存入jar表
2023-02-28 10:35:39.870 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\admin\CE\CEEJB.jar
2023-02-28 10:35:40.328 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\patch\v002\CE\CEEJB.jar
2023-02-28 10:35:40.502 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\admin\CE\ProjectJARs.jar
2023-02-28 10:35:40.565 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\patch\v002\CE\ProjectJARs.jar
2023-02-28 10:35:40.588 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.589 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.592 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.592 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\CEWeb.war\com\cs\ceweb\catalog\clause不存在
2023-02-28 10:35:40.593 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.596 [com.xw.controller.UpdateCoreController:96] INFO   当前CEV2.0test1中的CEWeb.war更新完毕
2023-02-28 10:35:40.603 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.604 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\CEEJB\CEEJB\com\cs\batchframework不存在
2023-02-28 10:35:40.604 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.606 [com.xw.service.UpdateCoreServiceImpl:99] INFO   再次更新jar包：CEEJB 中的 CEEJB\CEEJB\com\cs\batchframework\BatchFrameHelper.class 文件
2023-02-28 10:35:40.607 [com.xw.service.UpdateCoreServiceImpl:119] INFO   文件CEEJB\CEEJB\com\cs\batchframework\BatchFrameHelper.class 复制出现异常 D:\workspace\admin\CE\CEEJB\CEEJB\com\cs\batchframework\BatchFrameHelper.class (系统找不到指定的路径。)
2023-02-28 10:35:40.607 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.608 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\CEEJB\CEEJB\com\cs\batchframework不存在
2023-02-28 10:35:40.608 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.609 [com.xw.service.UpdateCoreServiceImpl:99] INFO   再次更新jar包：CEEJB 中的 CEEJB\CEEJB\com\cs\batchframework\SubfileBatchHandler.class 文件
2023-02-28 10:35:40.609 [com.xw.service.UpdateCoreServiceImpl:119] INFO   文件CEEJB\CEEJB\com\cs\batchframework\SubfileBatchHandler.class 复制出现异常 D:\workspace\admin\CE\CEEJB\CEEJB\com\cs\batchframework\SubfileBatchHandler.class (系统找不到指定的路径。)
2023-02-28 10:35:40.612 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.613 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\CEEJB\CEEJB\com\cs\batchframework不存在
2023-02-28 10:35:40.613 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.616 [com.xw.controller.UpdateCoreController:96] INFO   当前CEV2.0test1中的CEEJB更新完毕
2023-02-28 10:35:40.623 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.623 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\ProjectJARs\ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception不存在
2023-02-28 10:35:40.623 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.625 [com.xw.service.UpdateCoreServiceImpl:99] INFO   再次更新jar包：ProjectJARs 中的 ProjectJARs\ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception\TicketAccessException.class 文件
2023-02-28 10:35:40.625 [com.xw.service.UpdateCoreServiceImpl:119] INFO   文件ProjectJARs\ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception\TicketAccessException.class 复制出现异常 D:\workspace\admin\CE\ProjectJARs\ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception\TicketAccessException.class (系统找不到指定的路径。)
2023-02-28 10:35:40.627 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-02-28 10:35:40.627 [com.xw.filter.FileFilter:33] ERROR  目录D:\workspace\patch\v002\CE\ProjectJARs\ProjectJARs\BOC\com\bocsoft\bfw\common\ticket\exception不存在
2023-02-28 10:35:40.627 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-02-28 10:35:40.630 [com.xw.controller.UpdateCoreController:96] INFO   当前CEV2.0test1中的ProjectJARs更新完毕
2023-02-28 10:35:40.636 [com.xw.service.UpdateCoreServiceImpl:271] ERROR  更新第三方jar包[replaceTest.jar]时出现异常String index out of range: -1
2023-02-28 10:35:40.637 [com.xw.controller.UpdateCoreController:120] ERROR  当前CEV2.0test1中的第三方jar包更新异常
