2023-03-07 11:03:45.966 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-03-07 11:03:45.978 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[D:\workspace\patch\v003\CE\CEWeb.war\WEB-INF\classes\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor$test$test2.class, D:\workspace\patch\v003\CE\CEWeb.war\WEB-INF\classes\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor$test1.class]
2023-03-07 11:03:45.992 [com.xw.service.UpdateCoreServiceImpl:94] INFO   初次更新jar包：CEWeb.war 中的 CEWeb.war\WEB-INF\classes\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor$test$test2.class 文件
2023-03-07 11:03:45.996 [com.xw.service.UpdateCoreServiceImpl:94] INFO   初次更新jar包：CEWeb.war 中的 CEWeb.war\WEB-INF\classes\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor$test1.class 文件
2023-03-07 11:03:46.001 [com.xw.service.UpdateCoreServiceImpl:94] INFO   初次更新jar包：CEWeb.war 中的 CEWeb.war\WEB-INF\classes\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor.class 文件
2023-03-07 11:03:46.004 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-03-07 11:03:46.004 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-03-07 11:03:46.005 [com.xw.service.UpdateCoreServiceImpl:94] INFO   初次更新jar包：CEWeb.war 中的 CEWeb.war\WEB-INF\classes\com\cs\ceweb\catalog\clause\CEGetCataClause.class 文件
2023-03-07 11:03:46.008 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-03-07 11:03:46.008 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-03-07 11:03:46.010 [com.xw.service.UpdateCoreServiceImpl:94] INFO   初次更新jar包：CEWeb.war 中的 CEWeb.war\WEB-INF\classes\com\cs\ceweb\catalog\clause\t2.class 文件
2023-03-07 11:03:46.010 [com.xw.service.OperationServiceImpl:303] INFO   文件 D:\workspace\admin\CE\CEWeb.war\WEB-INF\classes\com\cs\ceweb\catalog\clause\t2.class不存在
2023-03-07 11:03:46.012 [com.xw.controller.UpdateCoreController:97] INFO   当前CEV3.0test1中的CEWeb.war更新完毕
2023-03-07 11:04:16.298 [com.xw.service.ReadXMLServiceImpl:235] INFO   readXml完成
2023-03-07 11:04:16.302 [com.xw.service.ReadXMLServiceImpl:128] INFO   readConfig完成
2023-03-07 11:04:16.306 [com.xw.service.ReadXMLServiceImpl:128] INFO   readConfig完成
2023-03-07 11:04:16.307 [com.xw.controller.UpdateCoreController:61] INFO   返回当前需要升级的文件信息 [ParameterListEntity [refNo=CEV2.0test1, parameterEntities=[ParameterEntity [packageName=CEWeb.war, jarName=, version=v002, updateFiles=[CEWeb.war\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor.class, CEWeb.war\com\cs\ceweb\catalog\clause\CEGetCataClause.class], deleteFiles=[CEWeb.war\com\cs\ceweb\catalog\clause\t2.class]], ParameterEntity [packageName=CEEJB, jarName=CEEJB.jar, version=v002, updateFiles=[CEEJB\com\cs\batchframework\BatchFrameHelper.class, CEEJB\com\cs\batchframework\SubfileBatchHandler.class], deleteFiles=[CEEJB\com\cs\batchframework\t1.class]]], updateJars=[replaceTest.jar], deleteJars=[deleteTest.jar]], ParameterListEntity [refNo=CEV2.0test2, parameterEntities=[], updateJars=[], deleteJars=[]], ParameterListEntity [refNo=CEV3.0test1, parameterEntities=[ParameterEntity [packageName=CEWeb.war, jarName=, version=v003, updateFiles=[CEWeb.war\com\cs\ce\rest\service\CERecvMessgaeByAPIProcessor.class, CEWeb.war\com\cs\ceweb\catalog\clause\CEGetCataClause.class], deleteFiles=[CEWeb.war\com\cs\ceweb\catalog\clause\t2.class]], ParameterEntity [packageName=CEEJB, jarName=CEEJB.jar, version=v003, updateFiles=[CEEJB\com\cs\batchframework\BatchFrameHelper.class, CEEJB\com\cs\batchframework\SubfileBatchHandler.class], deleteFiles=[CEEJB\com\cs\batchframework\t1.class]]], updateJars=[replaceTest.jar], deleteJars=[deleteTest.jar]], ParameterListEntity [refNo=CEV3.0test2, parameterEntities=[], updateJars=[], deleteJars=[]]]
2023-03-07 11:04:16.307 [com.xw.service.UpdateCoreServiceImpl:42] INFO   CE 文件夹已创建
2023-03-07 11:04:17.225 [com.xw.service.UpdateCoreServiceImpl:53] INFO   JARs_Old 文件夹已创建
2023-03-07 11:04:17.225 [com.xw.service.UpdateCoreServiceImpl:59] INFO   JARs_New 文件夹已创建
2023-03-07 11:04:17.226 [com.xw.service.UpdateCoreServiceImpl:64] INFO   updateDataEntity已经存入jar表
2023-03-07 11:04:25.424 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\admin\CE\CEEJB.jar
2023-03-07 11:04:25.797 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\patch\v002\CE\CEEJB.jar
2023-03-07 11:04:29.558 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\admin\CE\CEEJB.jar
2023-03-07 11:04:29.829 [com.xw.service.OperationServiceImpl:54] INFO   正在解压: D:\workspace\patch\v003\CE\CEEJB.jar
2023-03-07 11:04:29.955 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-03-07 11:04:29.957 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-03-07 11:04:29.959 [com.xw.filter.FileFilter:14] INFO   正在调用listFile方法
2023-03-07 11:04:29.959 [com.xw.filter.FileFilter:35] INFO   listFile方法调用完成，fileList为：[]
2023-03-07 11:04:29.960 [com.xw.controller.UpdateCoreController:97] INFO   当前CEV2.0test1中的CEWeb.war更新完毕
